Model,Scenario,Region,Unit,Year,Value,Enduse,EnergySource
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,0.226,Transportation,GasesTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,0,Transportation,HydrogenTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,51.6929,Transportation,LiquidsTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,25.2162,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,20.044,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,2.5157,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,0.0002,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,4.7622,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,3.7328,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,11.1681,Industry,ElectricityIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,14.76,Industry,GasesIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,2.2769,Industry,HeatIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,0.1575,Industry,HydrogenIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,16.6671,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,OECD90 + EU,EJ/yr,2020,6.0686,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,3.3826,Transportation,ElectricityTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,0,Transportation,GasesTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,0.0019,Transportation,HydrogenTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,134.127,Transportation,LiquidsTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,72.9944,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,36.4838,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,8.3781,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,0.0008,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,16.5075,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,31.5755,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,51.9451,Industry,ElectricityIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,48.1433,Industry,GasesIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,10.7175,Industry,HeatIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,0.7,Industry,HydrogenIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,64.2706,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,World,EJ/yr,2030,41.6142,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,1.5286,Transportation,ElectricityTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,0,Transportation,GasesTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,0.0006,Transportation,HydrogenTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,43.8198,Transportation,LiquidsTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,27.9691,Residential and Commercial,Electricity
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,9.6283,Residential and Commercial,Gases
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,3.1342,Residential and Commercial,Heat
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,0.0004,Residential and Commercial,Hydrogen
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,7.0755,Residential and Commercial,Liquids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,10.6605,Residential and Commercial,Solids
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,28.9163,Industry,ElectricityIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,19.0393,Industry,GasesIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,5.9145,Industry,HeatIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,0.3106,Industry,HydrogenIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,28.1297,Industry,LiquidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Asia (No Japan),EJ/yr,2030,27.2809,Industry,SolidsIndus
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2030,0.2406,Transportation,ElectricityTrans
REMIND-MAgPIE 1.7-3.0,NPi_v3,Middle East + Africa,EJ/yr,2030,0.0003,Transportation,GasesTrans
